   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.87858,             0.77466,             0.83222,             0.37785,             0.04268,            0.011639,                   0,             0.01716,             0.01203,                0.98,             0.00043,              2.7004,             0.65757,             0.08794,             0.04501,             0.43659,             0.99721,             0.76895,              1.0922,                 0.5,              4.0328,                   0,             0.01341,             0.70873,             0.34954,                   0,             0.14367,             0.39578,                   0,                   0,                   0,                 0.5,             0.78092,                   0,                   0,              4.9311
             0.91775,             0.77829,             0.86006,              0.4023,            0.041876,            0.012383,                   0,             0.01461,             0.01114,              0.9684,             0.00043,              2.5891,             0.91489,             0.08794,             0.04437,             0.31787,              1.1365,             0.86875,             0.99601,                 0.5,              4.2798,                   0,             0.01433,             0.72232,             0.45802,                   0,             0.13475,             0.38005,                   0,                   0,                   0,                 0.5,             0.79485,                   0,                   0,              5.1531
             0.91429,             0.78729,             0.85823,             0.38953,            0.037487,             0.01075,                   0,             0.01441,             0.01249,                0.98,              0.0004,               2.801,             0.91489,             0.10589,             0.03838,             0.31787,              1.1365,             0.71344,             0.99601,                 0.5,              5.4375,                   0,             0.01341,             0.67272,             0.42535,                   0,             0.13475,             0.35483,                   0,                   0,                   0,                 0.5,             0.72621,                   0,                   0,              5.1531
              0.9049,             0.78715,             0.84557,             0.37878,             0.04392,            0.011967,                   0,             0.01461,             0.01181,                0.98,             0.00043,              2.9558,             0.47704,             0.07472,             0.04353,             0.30239,              1.1365,             0.98426,             0.65941,                 0.5,              4.2798,                   0,             0.01214,             0.64837,             0.57544,                   0,             0.13475,             0.35778,                   0,                   0,                   0,                 0.5,             0.99378,                   0,                   0,              2.0373
             0.91575,             0.78832,             0.85846,             0.38391,            0.037747,            0.011953,                   0,             0.01414,             0.01114,                0.98,             0.00044,               2.347,             0.75544,             0.09942,             0.03914,               0.291,               1.084,             0.86875,              0.8764,                 0.5,              4.4902,                   0,             0.01266,             0.74118,             0.41693,                   0,             0.14215,              0.4423,                   0,                   0,                   0,                 0.5,             0.91919,                   0,                   0,              5.1531
             0.90688,             0.78192,             0.85373,              0.4044,            0.040381,            0.012934,                   0,             0.01537,             0.01164,             0.96289,             0.00041,              2.7811,             0.91489,             0.09315,              0.0431,             0.31787,              1.1365,             0.92738,                1.01,                 0.5,              4.0082,                   0,             0.01501,             0.69131,             0.48501,                   0,               0.138,             0.38005,                   0,                   0,                   0,                 0.5,             0.79485,                   0,                   0,              5.4494
             0.87291,             0.79661,             0.84618,             0.39561,            0.041078,             0.01336,                   0,             0.01546,             0.01162,             0.96635,             0.00041,              2.7736,             0.91529,             0.09382,              0.0438,             0.30963,              1.1159,             0.92738,              1.0314,                 0.5,               4.049,                   0,             0.01454,             0.69411,             0.48501,                   0,             0.13537,             0.37933,                   0,                   0,                   0,                 0.5,              0.8242,                   0,                   0,              5.4494
             0.89509,             0.78884,             0.85133,             0.39864,            0.040582,             0.01251,                   0,             0.01467,             0.01222,             0.96202,             0.00041,              2.9813,             0.87865,             0.09315,             0.04336,             0.31787,              1.1707,             0.87767,              1.0248,                 0.5,              4.0042,                   0,              0.0146,             0.69131,             0.48501,                   0,              0.1315,             0.38467,                   0,                   0,                   0,                 0.5,             0.79485,                   0,                   0,              5.3042
             0.90374,              0.7867,             0.85717,             0.38471,            0.042265,            0.015091,                   0,              0.0149,             0.01164,             0.96782,             0.00045,              2.7811,              0.7315,             0.10584,              0.0431,             0.34659,              1.0272,             0.99602,              1.1768,                 0.5,              3.5835,                   0,             0.01757,             0.70429,             0.48501,                   0,             0.14884,             0.37542,                   0,                   0,                   0,                 0.5,             0.79485,                   0,                   0,              4.4984
             0.91734,             0.77616,             0.86141,             0.39498,            0.032514,            0.014454,                   0,             0.01213,             0.01243,             0.95837,             0.00041,              2.6234,             0.79641,             0.09315,             0.03464,             0.38996,              1.0888,              0.9818,              1.1606,                 0.5,              4.0082,                   0,             0.01512,             0.81707,             0.48501,                   0,             0.14652,             0.35759,                   0,                   0,                   0,                 0.5,              0.6216,                   0,                   0,              5.2599
             0.89493,             0.80131,             0.86134,             0.40685,            0.039378,            0.012796,                   0,             0.01536,             0.01164,             0.96274,             0.00041,                2.78,             0.91511,             0.09315,             0.04309,             0.31787,              1.1365,             0.92738,              1.0102,                 0.5,              4.0082,                   0,             0.01501,             0.69115,               0.485,                   0,             0.13793,             0.38005,                   0,                   0,                   0,                 0.5,             0.79461,                   0,                   0,              5.4492
              0.9271,              0.7721,             0.84744,             0.39574,            0.039454,            0.012838,                   0,             0.01481,             0.01114,             0.96756,             0.00044,              2.8514,             0.70437,             0.08794,             0.04221,             0.43364,              1.0028,             0.85406,              1.1225,                 0.5,              4.1712,                   0,             0.01198,               0.722,             0.40058,                   0,              0.1173,             0.38015,                   0,                   0,                   0,                 0.5,             0.79485,                   0,                   0,              5.1287
