epoch,;train/box_loss,;train/obj_loss,;train/cls_loss,;metrics/precision,;metrics/recall,;metrics/mAP_0.5,;metrics/mAP_0.5:0.95,;val/box_loss,;val/obj_loss,;val/cls_loss,;x/lr0,;x/lr1,;x/lr2
581;0.015819,;0.0057023,;0;0.93513,;0.8897,;0.92915,;0.56576,;0.028209,;0.0078149,;0;0.00043,;0.00043,;0.00043
582;0.015532,;0.0053639,;0;0.93429,;0.8897,;0.92913,;0.56626,;0.028206,;0.0078191,;0;0.0004135,;0.0004135,;0.0004135
583;0.015687,;0.0057061,;0;0.93439,;0.8897,;0.92932,;0.56647,;0.02821,;0.0078232,;0;0.000397,;0.000397,;0.000397
584;0.015165,;0.0056108,;0;0.936,;0.89051,;0.92959,;0.56715,;0.028209,;0.0078267,;0;0.0003805,;0.0003805,;0.0003805
585;0.015409,;0.0056719,;0;0.93679,;0.88939,;0.92945,;0.56671,;0.028213,;0.0078317,;0;0.000364,;0.000364,;0.000364
586;0.015069,;0.0056389,;0;0.93643,;0.8897,;0.92945,;0.56681,;0.028207,;0.0078339,;0;0.0003475,;0.0003475,;0.0003475
587;0.016357,;0.0056563,;0;0.93765,;0.89037,;0.92946,;0.56681,;0.028201,;0.0078379,;0;0.000331,;0.000331,;0.000331
588;0.014948,;0.0056541,;0;0.93766,;0.89132,;0.93015,;0.56717,;0.028202,;0.0078426,;0;0.0003145,;0.0003145,;0.0003145
589;0.015831,;0.0055672,;0;0.93696,;0.89051,;0.92945,;0.56722,;0.028211,;0.00785,;0;0.000298,;0.000298,;0.000298
590;0.01542,;0.0055724,;0;0.93649,;0.89051,;0.9294,;0.56705,;0.028214,;0.0078539,;0;0.0002815,;0.0002815,;0.0002815
591;0.016295,;0.005672,;0;0.93732,;0.89051,;0.92927,;0.56774,;0.028215,;0.0078577,;0;0.000265,;0.000265,;0.000265
592;0.015296,;0.0055969,;0;0.93758,;0.89051,;0.92938,;0.56702,;0.028218,;0.0078643,;0;0.0002485,;0.0002485,;0.0002485
593;0.015142,;0.0056559,;0;0.93692,;0.89051,;0.92936,;0.56694,;0.028221,;0.007868,;0;0.000232,;0.000232,;0.000232
594;0.015619,;0.0055848,;0;0.9369,;0.89051,;0.9294,;0.56708,;0.028221,;0.0078708,;0;0.0002155,;0.0002155,;0.0002155
595;0.015244,;0.005704,;0;0.93775,;0.89051,;0.92939,;0.56694,;0.02822,;0.0078753,;0;0.000199,;0.000199,;0.000199
596;0.015401,;0.0056378,;0;0.93763,;0.89051,;0.92937,;0.56718,;0.028219,;0.0078783,;0;0.0001825,;0.0001825,;0.0001825
597;0.014996,;0.0055473,;0;0.93749,;0.89051,;0.92935,;0.56714,;0.028218,;0.0078835,;0;0.000166,;0.000166,;0.000166
598;0.015171,;0.0056087,;0;0.93692,;0.89051,;0.92981,;0.567,;0.028226,;0.0078926,;0;0.0001495,;0.0001495,;0.0001495
599;0.015551,;0.0056462,;0;0.93682,;0.89051,;0.92984,;0.56677,;0.028226,;0.0078944,;0;0.000133,;0.000133,;0.000133
